geoip;currency;customer_id;customer_gender;customer_phone;customer_name;customer_email
{'country_iso_code': 'FR', 'city_name': 'MIREBEAU', 'zip_code': '86110', 'location': {'lon': '46.7891930308', 'lat': '0.198457182701'}};EUR;78440;M;0499221905;Richard Gauthier;gauthier74@tiscali.fr
{'country_iso_code': 'FR', 'city_name': 'BESSON', 'zip_code': '03210', 'location': {'lon': '46.4808588768', 'lat': '3.25477616923'}};EUR;68846;M;0339033058;Julien Gérard;gerard49@laposte.net
{'country_iso_code': 'FR', 'city_name': 'AICIRITS CAMOU SUHAST', 'zip_code': '64120', 'location': {'lon': '43.3536564293', 'lat': '-1.01649248098'}};EUR;86811;M;+33 3 70 30 49 92;Alain Grenier;grenier59@noos.fr
{'country_iso_code': 'FR', 'city_name': 'ANAIS', 'zip_code': '16560', 'location': {'lon': '45.7689915038', 'lat': '0.206024179916'}};EUR;93822;M;+33 3 29 81 57 09;Daniel de la Michaud;michaud81@dbmail.com
{'country_iso_code': 'FR', 'city_name': 'THEUVILLE', 'zip_code': '95810', 'location': {'lon': '49.1567965357', 'lat': '2.0691663538'}};EUR;68307;M;05 36 96 83 11;Paul Riou;riou36@noos.fr
{'country_iso_code': 'FR', 'city_name': 'THIVERNY', 'zip_code': '60160', 'location': {'lon': '49.245997329', 'lat': '2.42786495364'}};EUR;11881;M;04 57 89 90 98;Jules Blanchet Le Bertrand;bertrand26@tiscali.fr
{'country_iso_code': 'FR', 'city_name': 'ST ELOY LES MINES', 'zip_code': '63700', 'location': {'lon': '46.1638179584', 'lat': '2.84278214683'}};EUR;50289;M;+33 (0)4 32 25 98 52;Édouard Ollivier;ollivier60@live.com
{'country_iso_code': 'FR', 'city_name': 'ROCHEFOURCHAT', 'zip_code': '26340', 'location': {'lon': '44.6049174484', 'lat': '5.2414538181'}};EUR;80359;M;03 60 04 11 90;Bernard Didier;didier71@bouygtel.fr
{'country_iso_code': 'FR', 'city_name': 'VILLAREMBERT', 'zip_code': '73300', 'location': {'lon': '45.2399528685', 'lat': '6.2643037706'}};EUR;83599;M;05 94 88 14 95;Alfred Lebrun Le Texier;texier37@yahoo.fr
{'country_iso_code': 'FR', 'city_name': 'PORT D ENVAUX', 'zip_code': '17350', 'location': {'lon': '45.818051845', 'lat': '-0.672067298755'}};EUR;39273;M;+33 (0)2 14 86 13 90;Victor Durand;durand20@gmail.com
{'country_iso_code': 'FR', 'city_name': 'ST SEVER DE SAINTONGE', 'zip_code': '17800', 'location': {'lon': '45.6909400588', 'lat': '-0.52078042473'}};EUR;93764;M;0222606888;Laurent Gonzalez-Leblanc;gonzalez-leblanc98@voila.fr
{'country_iso_code': 'FR', 'city_name': 'GAVRAY SUR SIENNE', 'zip_code': '50450', 'location': {'lon': '48.901866947', 'lat': '-1.32927187447'}};EUR;92244;M;02 36 97 74 46;David Ruiz;ruiz78@free.fr
{'country_iso_code': 'FR', 'city_name': 'FRESNAY SUR SARTHE', 'zip_code': '72130', 'location': {'lon': '48.2817396551', 'lat': '0.0228368822752'}};EUR;48918;M;+33 5 59 41 58 45;Benoît Legendre;legendre71@noos.fr
{'country_iso_code': 'FR', 'city_name': 'ST SULPICE DES LANDES', 'zip_code': '35390', 'location': {'lon': '47.7769253675', 'lat': '-1.62552770861'}};EUR;54844;M;0327856948;Roger Courtois-Bourgeois;courtois-bourgeois44@live.com
{'country_iso_code': 'FR', 'city_name': 'ST ETIENNE', 'zip_code': '42100', 'location': {'lon': '45.4301235512', 'lat': '4.37913997076'}};EUR;51143;M;+33 (0)3 58 48 32 34;Thierry de la Henry;henry18@wanadoo.fr
{'country_iso_code': 'FR', 'city_name': 'BENET', 'zip_code': '85490', 'location': {'lon': '46.368873213', 'lat': '-0.613959918706'}};EUR;43370;M;03 28 31 01 98;Édouard Martins;martins27@tele2.fr
{'country_iso_code': 'FR', 'city_name': 'ROZIER COTES D AUREC', 'zip_code': '42380', 'location': {'lon': '45.3763346252', 'lat': '4.1143178936'}};EUR;59159;M;+33 (0)3 61 28 12 28;Frédéric Gallet;gallet76@dbmail.com
{'country_iso_code': 'FR', 'city_name': 'CHANAY', 'zip_code': '01420', 'location': {'lon': '46.005695299', 'lat': '5.76893393185'}};EUR;49077;M;+33 4 42 65 29 14;Marc Hebert;hebert53@hotmail.fr
{'country_iso_code': 'FR', 'city_name': 'CHEVILLE', 'zip_code': '72350', 'location': {'lon': '47.9421921001', 'lat': '-0.218013743743'}};EUR;81320;M;03 10 31 96 69;André Vidal-Laurent;vidal-laurent55@noos.fr
{'country_iso_code': 'FR', 'city_name': 'TROUHAUT', 'zip_code': '21440', 'location': {'lon': '47.3907339814', 'lat': '4.76320070709'}};EUR;32480;M;05 67 97 46 26;Michel Collet-Lejeune;collet-lejeune98@club-internet.fr
{'country_iso_code': 'FR', 'city_name': 'AYDIE', 'zip_code': '64330', 'location': {'lon': '43.5707613227', 'lat': '-0.113447741678'}};EUR;96870;M;+33 4 37 54 64 60;Xavier Perez;perez96@noos.fr
{'country_iso_code': 'FR', 'city_name': 'MACHILLY', 'zip_code': '74140', 'location': {'lon': '46.2555120151', 'lat': '6.32281411543'}};EUR;81660;M;+33 (0)4 85 59 85 24;Théophile Rodrigues;rodrigues53@laposte.net
{'country_iso_code': 'FR', 'city_name': 'BARDIGUES', 'zip_code': '82340', 'location': {'lon': '44.0297663201', 'lat': '0.891549889681'}};EUR;54077;M;+33 1 45 85 27 57;Augustin Joubert;joubert41@laposte.net
{'country_iso_code': 'FR', 'city_name': 'CHANTEPERIER', 'zip_code': '38740', 'location': {'lon': '44.9859421745', 'lat': '5.97635547463'}};EUR;35685;M;+33 (0)1 77 64 37 54;Alexandre Laine du Barbier;barbier97@laposte.net
{'country_iso_code': 'FR', 'city_name': 'GONNETOT', 'zip_code': '76730', 'location': {'lon': '49.7619135567', 'lat': '0.896605947173'}};EUR;24978;M;+33 (0)3 24 12 77 98;Tristan Hamel de Hoarau;hoarau56@voila.fr
{'country_iso_code': 'FR', 'city_name': 'LAMPERTHEIM', 'zip_code': '67450', 'location': {'lon': '48.6551039655', 'lat': '7.69405052062'}};EUR;19302;M;+33 (0)2 30 99 06 85;Matthieu Gérard;gerard57@hotmail.fr
{'country_iso_code': 'FR', 'city_name': 'MARETZ', 'zip_code': '59238', 'location': {'lon': '50.0450861132', 'lat': '3.42038871212'}};EUR;85318;M;+33 1 43 15 31 59;Sébastien Robert;robert15@live.com
{'country_iso_code': 'FR', 'city_name': 'POMMIER DE BEAUREPAIRE', 'zip_code': '38260', 'location': {'lon': '45.3927239084', 'lat': '5.1081971977'}};EUR;16640;M;+33 (0)4 78 41 10 87;Thierry Chevallier;chevallier52@hotmail.fr
{'country_iso_code': 'FR', 'city_name': 'GENERVILLE', 'zip_code': '11270', 'location': {'lon': '43.2104473587', 'lat': '1.931378621'}};EUR;81048;M;02 50 47 84 68;Roland Mahe;mahe95@wanadoo.fr
{'country_iso_code': 'FR', 'city_name': 'CHAMPAGNAT', 'zip_code': '71480', 'location': {'lon': '46.4834634223', 'lat': '5.36915009557'}};EUR;16091;M;04 72 01 08 29;Rémy de Samson;samson48@yahoo.fr
{'country_iso_code': 'FR', 'city_name': 'CHARD', 'zip_code': '23700', 'location': {'lon': '45.9497905818', 'lat': '2.49042284928'}};EUR;15705;M;+33 (0)2 37 64 69 69;Gabriel Picard;picard99@dbmail.com
{'country_iso_code': 'FR', 'city_name': 'ST SERVANT', 'zip_code': '56120', 'location': {'lon': '47.89876779', 'lat': '-2.5120013112'}};EUR;17065;M;+33 2 96 61 73 98;Thibaut Vidal;vidal16@tele2.fr
